OBJECTID,Province_State,Country_Region,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key,datetime
136,Shandong,China,36.3427,118.1498,1054,0,7,0,NA,NA,Shandong, China,2022-01-18 16:21:15
137,Shanghai,China,31.202,121.4491,3554,0,7,0,NA,NA,Shanghai, China,2022-01-18 16:21:15
138,Shanxi,China,37.5777,112.2922,266,0,0,0,NA,NA,Shanxi, China,2022-01-18 16:21:15
139,Sichuan,China,30.6171,102.7103,1361,0,3,0,NA,NA,Sichuan, China,2022-01-18 16:21:15
140,Tianjin,China,39.3054,117.323,962,0,3,0,NA,NA,Tianjin, China,2022-01-18 16:21:15
141,Tibet,China,31.6927,88.0924,1,0,0,0,NA,NA,Tibet, China,2022-01-18 16:21:15
142,Unknown,China,NA,NA,0,0,0,0,NA,NA,Unknown, China,2022-01-18 16:21:15
143,Xinjiang,China,41.1129,85.2401,981,0,3,0,NA,NA,Xinjiang, China,2022-01-18 16:21:15
144,Yunnan,China,24.974,101.487,1849,0,2,0,NA,NA,Yunnan, China,2022-01-18 16:21:15
145,Zhejiang,China,29.1832,120.0934,2098,0,1,0,NA,NA,Zhejiang, China,2022-01-18 16:21:15
146,Amazonas,Colombia,-1.4429,-71.5724,7167,0,260,0,NA,NA,Amazonas, Colombia,2022-01-18 16:21:15
147,Antioquia,Colombia,7.1986,-75.3412,870350,0,17144,0,NA,NA,Antioquia, Colombia,2022-01-18 16:21:15
148,Arauca,Colombia,7.0762,-70.7105,14804,0,492,0,NA,NA,Arauca, Colombia,2022-01-18 16:21:15
149,Atlantico,Colombia,10.6966,-74.8741,367207,0,9770,0,NA,NA,Atlantico, Colombia,2022-01-18 16:21:15
150,Bolivar,Colombia,8.6704,-74.03,185065,0,3089,0,NA,NA,Bolivar, Colombia,2022-01-18 16:21:15
151,Boyaca,Colombia,5.4545,-73.362,114937,0,2598,0,NA,NA,Boyaca, Colombia,2022-01-18 16:21:15
152,Caldas,Colombia,5.2983,-75.2479,110847,0,2310,0,NA,NA,Caldas, Colombia,2022-01-18 16:21:15
153,Capital District,Colombia,4.711,-74.0721,1579133,0,27829,0,NA,NA,Capital District, Colombia,2022-01-18 16:21:15
154,Caqueta,Colombia,0.8699,-73.8419,23629,0,950,0,NA,NA,Caqueta, Colombia,2022-01-18 16:21:15
155,Casanare,Colombia,5.7589,-71.5724,37365,0,944,0,NA,NA,Casanare, Colombia,2022-01-18 16:21:15
156,Cauca,Colombia,2.705,-76.826,65160,0,1612,0,NA,NA,Cauca, Colombia,2022-01-18 16:21:15
157,Cesar,Colombia,9.3373,-73.6536,97110,0,2579,0,NA,NA,Cesar, Colombia,2022-01-18 16:21:15
158,Choco,Colombia,5.2528,-76.826,17844,0,407,0,NA,NA,Choco, Colombia,2022-01-18 16:21:15
159,Cordoba,Colombia,8.0493,-75.574,109865,0,3755,0,NA,NA,Cordoba, Colombia,2022-01-18 16:21:15
160,Cundinamarca,Colombia,5.026,-74.03,284335,0,6881,0,NA,NA,Cundinamarca, Colombia,2022-01-18 16:21:15
161,Guainia,Colombia,2.5854,-68.5247,2620,0,35,0,NA,NA,Guainia, Colombia,2022-01-18 16:21:15
162,Guaviare,Colombia,1.0654,-73.2603,5298,0,97,0,NA,NA,Guaviare, Colombia,2022-01-18 16:21:15
163,Huila,Colombia,2.5359,-75.5277,93712,0,3237,0,NA,NA,Huila, Colombia,2022-01-18 16:21:15
164,La Guajira,Colombia,11.3548,-72.5205,49191,0,1456,0,NA,NA,La Guajira, Colombia,2022-01-18 16:21:15
165,Magdalena,Colombia,10.4113,-74.4057,106294,0,3503,0,NA,NA,Magdalena, Colombia,2022-01-18 16:21:15
166,Meta,Colombia,3.272,-73.0877,95121,0,2324,0,NA,NA,Meta, Colombia,2022-01-18 16:21:15
167,Narino,Colombia,1.2892,-77.3579,98378,0,3059,0,NA,NA,Narino, Colombia,2022-01-18 16:21:15
168,Norte de Santander,Colombia,7.9463,-72.8988,106064,0,4760,0,NA,NA,Norte de Santander, Colombia,2022-01-18 16:21:15
169,Putumayo,Colombia,0.436,-75.5277,18709,0,724,0,NA,NA,Putumayo, Colombia,2022-01-18 16:21:15
170,Quindio,Colombia,4.461,-75.6674,65255,0,1879,0,NA,NA,Quindio, Colombia,2022-01-18 16:21:15
171,Risaralda,Colombia,5.3158,-75.9928,98390,0,2302,0,NA,NA,Risaralda, Colombia,2022-01-18 16:21:15
172,San Andres y Providencia,Colombia,12.5567,-81.7185,9329,0,152,0,NA,NA,San Andres y Providencia, Colombia,2022-01-18 16:21:15
173,Santander,Colombia,6.6437,-73.6536,249384,0,7596,0,NA,NA,Santander, Colombia,2022-01-18 16:21:15
174,Sucre,Colombia,8.814,-74.7233,61604,0,1630,0,NA,NA,Sucre, Colombia,2022-01-18 16:21:15
175,Tolima,Colombia,4.0925,-75.1545,115193,0,3712,0,NA,NA,Tolima, Colombia,2022-01-18 16:21:15
176,Unknown,Colombia,NA,NA,0,0,296,0,NA,NA,Unknown, Colombia,2022-01-18 16:21:15
177,Valle del Cauca,Colombia,3.8009,-76.6413,503811,0,13673,0,NA,NA,Valle del Cauca, Colombia,2022-01-18 16:21:15
178,Vaupes,Colombia,0.8554,-70.812,1808,0,17,0,NA,NA,Vaupes, Colombia,2022-01-18 16:21:15
179,Vichada,Colombia,4.4234,-69.2878,3089,0,58,0,NA,NA,Vichada, Colombia,2022-01-18 16:21:15
180,NA,Comoros,-11.6455,43.3333,7767,0,159,0,NA,NA,Comoros,2022-01-18 16:21:15
181,NA,Congo (Brazzaville),-0.228,15.8277,23244,0,371,0,NA,NA,Congo (Brazzaville),2022-01-18 16:21:15
182,NA,Congo (Kinshasa),-4.0383,21.7587,82984,0,1278,0,NA,NA,Congo (Kinshasa),2022-01-18 16:21:15
183,NA,Costa Rica,9.7489,-83.7534,620587,0,7421,0,NA,NA,Costa Rica,2022-01-18 16:21:15
184,NA,Cote d'Ivoire,7.54,-5.5471,79273,0,761,0,NA,NA,Cote d'Ivoire,2022-01-18 16:21:15
185,NA,Croatia,45.1,15.2,826380,0,13212,0,NA,NA,Croatia,2022-01-18 16:21:15
186,NA,Cuba,21.521757,-77.781167,1005649,0,8345,0,NA,NA,Cuba,2022-01-18 16:21:15
187,NA,Cyprus,35.1264,33.4299,228881,0,684,0,NA,NA,Cyprus,2022-01-18 16:21:15
188,NA,Czechia,49.8175,15.473,2624121,0,36910,0,NA,NA,Czechia,2022-01-18 16:21:15
189,NA,Denmark,56.2639,9.5018,1193479,0,3519,0,NA,NA,Denmark,2022-01-18 16:21:15
190,Faroe Islands,Denmark,61.8926,-6.9118,10584,0,15,0,NA,NA,Faroe Islands, Denmark,2022-01-18 16:21:15
191,Greenland,Denmark,71.7069,-42.6043,8025,0,3,0,NA,NA,Greenland, Denmark,2022-01-18 16:21:15
192,NA,Diamond Princess,NA,NA,712,0,13,0,NA,NA,Diamond Princess,2022-01-18 16:21:15
193,NA,Djibouti,11.8251,42.5903,15089,0,189,0,NA,NA,Djibouti,2022-01-18 16:21:15
194,NA,Dominica,15.415,-61.371,7957,0,48,0,NA,NA,Dominica,2022-01-18 16:21:15
195,NA,Dominican Republic,18.7357,-70.1627,510458,0,4269,0,NA,NA,Dominican Republic,2022-01-18 16:21:15
196,NA,Ecuador,-1.8312,-78.1834,629507,0,34232,0,NA,NA,Ecuador,2022-01-18 16:21:15
197,NA,Egypt,26.820553,30.802498,401308,0,22179,0,NA,NA,Egypt,2022-01-18 16:21:15
198,NA,El Salvador,13.7942,-88.8965,123577,0,3837,0,NA,NA,El Salvador,2022-01-18 16:21:15
199,NA,Equatorial Guinea,1.6508,10.2679,15492,0,178,0,NA,NA,Equatorial Guinea,2022-01-18 16:21:15
200,NA,Eritrea,15.1794,39.7823,9002,0,88,0,NA,NA,Eritrea,2022-01-18 16:21:15
201,NA,Estonia,58.5953,25.0136,271500,0,1987,0,NA,NA,Estonia,2022-01-18 16:21:15
202,NA,Eswatini,-26.5225,31.4659,67878,0,1363,0,NA,NA,Eswatini,2022-01-18 16:21:15
203,NA,Ethiopia,9.145,40.4897,458203,0,7162,0,NA,NA,Ethiopia,2022-01-18 16:21:15
204,NA,Fiji,-17.7134,178.065,59785,0,746,0,NA,NA,Fiji,2022-01-18 16:21:15
205,NA,Finland,61.92411,25.748151,371135,0,1724,0,NA,NA,Finland,2022-01-18 16:21:15
206,NA,France,46.2276,2.2137,13882214,0,124375,0,NA,NA,France,2022-01-18 16:21:15
207,French Guiana,France,4,-53,67275,0,348,0,NA,NA,French Guiana, France,2022-01-18 16:21:15
208,French Polynesia,France,-17.6797,-149.4068,47132,0,636,0,NA,NA,French Polynesia, France,2022-01-18 16:21:15
209,Guadeloupe,France,16.265,-61.551,73660,0,835,0,NA,NA,Guadeloupe, France,2022-01-18 16:21:15
210,Martinique,France,14.6415,-61.0242,65380,0,805,0,NA,NA,Martinique, France,2022-01-18 16:21:15
211,Mayotte,France,-12.8275,45.166244,33757,0,186,0,NA,NA,Mayotte, France,2022-01-18 16:21:15
212,New Caledonia,France,-20.904305,165.618042,14157,0,282,0,NA,NA,New Caledonia, France,2022-01-18 16:21:15
213,Reunion,France,-21.1151,55.5364,102216,0,435,0,NA,NA,Reunion, France,2022-01-18 16:21:15
214,Saint Barthelemy,France,17.9,-62.8333,2952,0,6,0,NA,NA,Saint Barthelemy, France,2022-01-18 16:21:15
215,Saint Pierre and Miquelon,France,46.8852,-56.3159,415,0,0,0,NA,NA,Saint Pierre and Miquelon, France,2022-01-18 16:21:15
216,St Martin,France,18.0708,-63.0501,7713,0,60,0,NA,NA,St Martin, France,2022-01-18 16:21:15
217,Wallis and Futuna,France,-14.2938,-178.1165,454,0,7,0,NA,NA,Wallis and Futuna, France,2022-01-18 16:21:15
218,NA,Gabon,-0.8037,11.6094,45405,0,299,0,NA,NA,Gabon,2022-01-18 16:21:15
219,NA,Gambia,13.4432,-15.3101,11572,0,347,0,NA,NA,Gambia,2022-01-18 16:21:15
220,NA,Georgia,42.3154,43.3569,1006864,0,14512,0,NA,NA,Georgia,2022-01-18 16:21:15
221,Baden-Wurttemberg,Germany,48.6616,9.3501,1131663,0,13453,0,NA,NA,Baden-Wurttemberg, Germany,2022-01-18 16:21:15
222,Bayern,Germany,48.7904,11.4979,1465779,0,20190,0,NA,NA,Bayern, Germany,2022-01-18 16:21:15
223,Berlin,Germany,52.52,13.405,404693,0,4067,0,NA,NA,Berlin, Germany,2022-01-18 16:21:15
224,Brandenburg,Germany,52.4125,12.5316,276196,0,4899,0,NA,NA,Brandenburg, Germany,2022-01-18 16:21:15
225,Bremen,Germany,53.0793,8.8017,67153,0,624,0,NA,NA,Bremen, Germany,2022-01-18 16:21:15
226,Hamburg,Germany,53.5511,9.9937,181438,0,2049,0,NA,NA,Hamburg, Germany,2022-01-18 16:21:15
227,Hessen,Germany,50.6521,9.1624,556833,0,8678,0,NA,NA,Hessen, Germany,2022-01-18 16:21:15
228,Mecklenburg-Vorpommern,Germany,53.6127,12.4296,116821,0,1582,0,NA,NA,Mecklenburg-Vorpommern, Germany,2022-01-18 16:21:15
229,Niedersachsen,Germany,52.6367,9.8451,514864,0,7002,0,NA,NA,Niedersachsen, Germany,2022-01-18 16:21:15
